video,frame,knee_left,knee_right,hip_left,hip_right,trunk_angle,motion_energy
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,0,176.3515492444076,179.2752289797614,162.29463110341666,167.2566362281041,174.90428424268427,0.0
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,1,174.70691058879638,179.94574699943993,160.76186282022292,166.6320833028638,175.04855346442827,0.0049098630295378
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,2,173.7087612020486,179.82753251082354,159.7461147064079,166.54391109048944,175.23690235700144,0.0036755027579331
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,3,171.08877413065565,179.4401488497582,157.19943474874214,166.26053374271297,175.5391911838633,0.0072176208765244
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,4,168.2250100122713,179.24831233878206,154.27271637368924,167.815859955207,176.12408038300774,0.00805229162057
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,5,166.62187579435763,176.85006422012614,152.1740060542546,170.50383238310434,176.75226849768808,0.0083159143443635
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,6,164.89730655720473,173.91994865334183,150.05682102202817,173.95382834556287,177.40953697702926,0.0091315619584553
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,7,164.415814397297,172.3474998599588,149.14159193106178,176.6472001578771,178.05497516104398,0.0086455413986985
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,8,165.67026479396202,171.45462220172888,149.68908658071453,179.01480424821713,178.7729418722135,0.0078019011376281
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,9,168.0840114816863,172.4903012908399,151.5929143032723,179.414261885781,179.22476751655066,0.0076667707484641
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,10,171.36701371671836,173.5759368716725,154.12290961198852,179.80371208385534,179.7296876378394,0.0088189066039033
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,11,174.01840682874982,175.1537457079831,155.99714648242366,179.64535921895845,179.7661658016698,0.0091373295821723
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,12,175.38028755669427,175.75522565413817,156.72674525421357,179.94560207924343,179.3459035472804,0.0103701051177762
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,13,176.13803770857618,176.11440719260784,157.10851721152812,179.6051189481976,179.0598687493983,0.0104344720443276
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,14,177.03740502026423,176.91715442106965,157.63159381475978,179.7194865040202,178.82203213579533,0.0106808761675859
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,15,177.8443170231982,178.85241473460746,158.35667511753348,178.91354658289274,178.7662337831052,0.0114355036201058
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,16,179.07746045110986,179.08493935153334,159.53966196150586,177.15663877659355,178.83748148335553,0.010275762496832
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,17,179.322473119315,176.74094231405064,161.08542554872446,174.96313361404015,178.96867697729598,0.0091528940338884
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,18,177.60415465153005,174.1146831476267,162.6774290634756,172.46421261631232,179.0980704143293,0.0082792969891638
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,19,176.11630462506858,172.03521843348275,164.14502614241724,170.37770766764038,179.237294671846,0.0072832469797918
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,20,174.93942212173326,170.35351566619016,165.4560764333743,168.62777285647888,179.39275754355288,0.0059889004050462
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,21,173.97099383319505,168.96165931773277,166.5197012331245,167.21607867661945,179.51101876144574,0.0047544855937769
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,22,173.22404044586298,167.58075727983578,167.35955177747692,165.94551901356226,179.5856276165493,0.0036887600009251
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,23,173.026393570908,165.7952094495099,167.69864672567414,164.3593250080336,179.65300354446802,0.002777964014279
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,24,173.16209593303589,163.98628458613183,167.7443206010065,162.71633957535622,179.71940747832872,0.0017475162040307
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,25,173.46332759185597,162.06493285433174,167.54377565814312,160.97195308528708,179.76826140738302,0.0013256075444337
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,26,173.5964281102827,160.25899752174968,167.45131095793224,159.3486721347332,179.80924623138364,0.0014405623053949
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,27,173.76550165909015,159.09229796509183,167.3675586256205,158.2784737804813,179.82862018726448,0.0016820165189073
WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4,28,174.18482022749137,158.61918700199396,167.0770113419542,157.7335004204288,179.86494414167734,0.002202260969724
