video,frame,knee_left,knee_right,hip_left,hip_right,trunk_angle,motion_energy
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,0,91.68136544379608,102.53138518400681,83.39839932427259,92.25365102677272,178.66676313022205,0.0
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,1,91.69181087445088,102.9019561580867,83.40664662589163,92.65293082305448,178.6674135279589,0.0005779003098124452
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,2,91.86272736140992,102.64069483522421,83.5906049552724,92.36107593293502,178.6648027507126,0.0005314597713430608
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,3,92.0239800410342,101.864286312378,83.81046294180302,91.55967470594851,178.6418791959772,0.001311732670404531
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,4,92.40380813074275,100.7005914122285,84.29805495507615,90.24520965662757,178.5936080875935,0.0012634648160299937
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,5,92.84663362762382,99.51362873865473,84.92115369209013,88.85524756716673,178.5110422879443,0.0015232397098726123
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,6,93.11665643789026,97.75093592369852,85.39866495876265,86.89627498654522,178.3993917051021,0.0016033682366507376
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,7,93.11032350968844,96.42919494032077,85.61184019664809,85.4504376796514,178.26442835672265,0.0016979469550432883
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,8,92.96482614166986,95.63067958653572,85.67814028345255,84.61167112903355,178.12778975121245,0.0014331826242635984
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,9,92.71139815266787,95.27321758392692,85.58729024392873,84.3191425615135,178.00813847446685,0.0013590875138784083
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,10,92.42521529558985,94.79447315791452,85.38961455586544,83.97425814997234,177.91502225252955,0.0012245778974064037
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,11,92.35398438801676,94.52395602581619,85.39626057694376,83.89607567242287,177.84463116632796,0.001035591452820037
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,12,92.4752175268178,94.30946029849493,85.58726200824678,83.88019193952341,177.8002120715591,0.0007947589175044338
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,13,92.68581761440464,94.13707103962929,85.83427392464824,83.89858678025274,177.77541408030714,0.0006675499113639104
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,14,92.92421243398005,94.00903318041001,86.12435242779623,83.9452812353398,177.7587595184874,0.0006000246014877085
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,15,93.15008958934868,93.91795306729199,86.41938057816142,84.00954674148797,177.74760429874559,0.0005829794231289956
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,16,93.26532745534624,93.77973513339239,86.63912635788552,84.00359090457835,177.7473855555656,0.0004980486600504323
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,17,93.3169603062364,93.60104120549941,86.81096855375245,83.94385187243688,177.75306592118173,0.0005015151178897498
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,18,93.32518958682942,93.27522538936893,86.93569700670422,83.73470812412909,177.7674987962009,0.0009738625635389367
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,19,93.3038445565412,92.98616550262598,87.01855009454624,83.56714960154385,177.7873028415189,0.0013922585230643357
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,20,93.2773079101364,92.65447176425083,87.06792514618607,83.326530095152,177.80087303692105,0.00229477356388866
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,21,93.2223644123813,92.26202086572158,87.03041861982041,82.99756220999112,177.7984643296095,0.0027038629730023697
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,22,93.08098647628627,91.77453743001583,86.83022996553025,82.58661559344313,177.82706874774473,0.0036708077880832
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,23,92.74555683264713,91.32163998028742,86.4000503315549,82.19486977736658,177.87128760052855,0.003549887105361539
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,24,92.41033272148361,90.72708205347215,85.87133679229338,81.63067385025754,177.98158483127114,0.004123670298048422
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,25,92.06197284445018,90.19958882326172,85.16478770449805,81.11802155244837,178.217797574144,0.005672894186963565
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,26,91.6360209872613,89.6175801304456,84.29880465610722,80.53392024213103,178.54207767728712,0.006514928116550842
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,27,90.06320720861032,89.33402102269919,81.96900778398069,80.28378160572615,179.01536897891094,0.007826942945426874
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,28,88.45744682977674,89.2234549421616,79.51029248047467,80.26170695485088,179.5664570735632,0.008106461739924768
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,29,87.21722944749114,90.0641355931922,77.14208078621654,81.20729397614942,179.74115989577697,0.008736679882224863
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,30,86.12104803468795,91.61151729850037,74.9165859903978,82.86627949215033,179.02627906882432,0.006742130478007593
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,31,85.43855543619657,95.23633467480347,73.05852763714853,86.63681163323153,178.2277960833037,0.007289458411302953
WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4,32,86.49080559668276,99.53739575599799,73.20220079199468,91.00701289222202,177.52263867234007,0.005743475790244865
